# comparison with other models (50 random experiments ; 80/20 train/test)

--> RF trees=100 R2          (0.85 +/- 0.03)
--> PLS ncomp_best=11/543 R2 (0.84 +/- 0.03)
--> keras 256/256/256/256 31 (0.82 +/- 0.06)

#arch epochs avgR2_5xCV
256/256/256/256/256/256 10 0.838
1024/1024/1024/1024 20 0.828
128/128/128 25 0.821
64/64/64/64 23 0.817
2048/2048 16 0.807
2048/2048/2048/2048 22 0.805
512/512/512 15 0.803
512/512/512/512 17 0.790
256/256 17 0.787
2048/2048/2048 15 0.785
256/256/256 11 0.774
64 17 0.768
1024/1024/1024 12 0.767
512/512 15 0.761
128/128/128/128 10 0.752
128/128 10 0.750
64/64 14 0.743
256 17 0.740
64/64/64 6 0.730
256/256/256/256/256 6 0.680
1024/1024 13 0.676
128 6 0.659
512 12 0.629
1024 10 0.509
2048 10 -0.247
