score,MolW,cLogP,RotB
-54.2501,315.373,2.19892,2
-59.87,450.255,3.0776,6
-47.7501,325.342,1.04722,4
-53.5099,244.313,2.9516,4
-62.8701,352.502,4.63962,5
-46.0201,262.378,3.50062,6
-53.4101,327.344,2.77654,4
-47.49,395.483,3.1151,2
-53.6301,305.353,1.65002,6
-67.7601,418.505,1.8181,6
-50.4,327.409,2.8548,3
-37.7699,195.247,2.05162,3
-52.3399,271.36,3.48,3
-49.7798,341.477,1.1436,4
-64.4602,347.466,2.49434,5
-47.6701,334.851,4.54094,4
-50.0299,302.363,1.6208,1
-49.44,350.484,2.36342,4
-51.1901,322.905,4.66342,6
-66.11,369.431,3.594,4
-47.0699,294.395,0.8286,3
-58.8098,388.212,3.72502,6
-55.54,323.82,2.55042,5
-54.86,331.378,4.5712,8
-49.6202,362.474,0.5365,5
-64.76,385.899,3.5098,7
-50.6099,353.473,2.48534,6
-48.6002,381.483,0.7825,3
-46.9,326.784,2.34952,5
-55.35,306.409,3.9827,1
-54.26,352.837,3.30842,4
-53.15,285.351,1.1218,4
-46.4599,267.329,1.3817,5
-45.2199,310.329,1.085,4
-56.2698,359.492,0.0126,6
-61.9199,392.908,3.8677,5
-59.8501,363.51,1.25332,9
-54.8898,441.506,1.3639,4
-51.7201,319.451,4.43272,4
-54.9798,381.86,1.0115,4
-64.2299,358.486,1.98252,5
-49.3999,364.368,0.1415,5
-54.2899,342.443,0.5962,3
-46.8201,309.268,3.21354,3
-58.42,346.408,3.6234,7
-53.73,353.422,1.41842,2
-47.9,284.425,1.5973,3
-52.1098,359.47,2.0713,3
-59.6599,397.884,1.50992,5
-51.69,387.449,1.8334,7
-57.0299,326.415,3.7256,3
-56.7599,370.544,1.6379,6
-64.8,380.514,0.9882,7
-58.83,347.459,2.3872,5
-42.6499,314.363,0.9157,2
-54.98,287.294,1.75928,5
-49.5499,311.813,3.0004,6
-55.4402,360.42,2.79282,7
-53.3199,334.42,1.1367,4
-56.35,377.491,2.5085,6
-55.8699,340.427,1.3395,5
-62.7099,343.467,2.77294,5
-59.2998,360.527,1.8816,6
-54.7101,344.433,2.2189,7
-57.6499,395.301,4.1723,5
-63.6898,397.788,4.2047,4
-51.6399,286.335,1.14552,4
